appid,name,release_date,developer,publisher,primary_genre,is_indie,price_usd,positive_ratings,negative_ratings,total_ratings,average_playtime_min,median_playtime_min,platforms
100000,Ashen Wanderer,2022-03-03,Devolver Digital,Devolver Digital,Simulation,False,34.77,28679,21394,50073,2739,1132,windows
100001,Ashen Frontier,2024-10-19,Private Division,Square Enix,Strategy,False,23.35,260,43,303,4523,1650,windows
100002,Ashen Protocol,2023-06-23,Devolver Digital,Focus Entertainment,Simulation,False,19.42,983,274,1257,2415,1278,windows
100003,Iron Chronicles,2021-02-16,Raw Fury,Ubisoft,Adventure,False,17.08,135,42,177,759,334,windows;mac
100004,Silent Requiem,2015-05-01,Paradox Interactive,Indie Collective,RPG,False,27.28,1314,534,1848,3199,1967,windows
100005,Rogue Frontier,2025-02-08,Square Enix,Annapurna Interactive,Casual,False,9.5,843,686,1529,340,132,windows;mac;linux
100006,Shadow Uprising,2013-10-12,Paradox Interactive,Ubisoft,RPG,False,23.14,4574,448,5022,2489,1482,windows;linux
100007,Iron Horizon,2024-06-05,Ubisoft,Devolver Digital,Action,False,21.17,2678,844,3522,1602,924,windows;mac
100008,Crimson Horizon,2024-12-07,Annapurna Interactive,Paradox Interactive,Strategy,False,21.99,2486,1001,3487,3000,2304,windows
100009,Void Odyssey,2024-06-04,Valve,Annapurna Interactive,Casual,False,9.12,25057,13031,38088,173,62,windows
100010,Iron Citadel,2023-04-28,Shadow Uprising Studio,Paradox Interactive,Casual,True,3.5,106,29,135,267,157,windows;mac
100011,Ashen Citadel,2018-02-14,Raw Fury,Paradox Interactive,Action,False,34.72,4091,1514,5605,1785,1397,windows;linux
100012,Lost Colony,2023-10-08,Rusty Reckoning Studio,Focus Entertainment,Simulation,True,7.97,736,1361,2097,2926,1831,windows
100013,Ashen Wanderer,2015-09-06,Crimson Odyssey 7 Studio,Square Enix,Action,True,8.86,77,13,90,1673,548,windows;mac
100014,Lost Colony,2011-05-14,Annapurna Interactive,Annapurna Interactive,Adventure,False,13.57,1154,105,1259,1372,479,windows;linux
100015,Silent Uprising,2014-10-16,EA,Focus Entertainment,Simulation,False,29.06,3011,609,3620,4304,2082,windows
100016,Dark Colony,2024-05-24,Shadow Protocol Studio,Focus Entertainment,Indie,True,4.48,273,75,348,664,443,windows
100017,Ashen Frontier,2014-08-27,Crimson Odyssey Studio,Valve,Strategy,True,13.57,803,74,877,2767,1682,windows
100018,Eternal Odyssey,2024-07-24,Annapurna Interactive,EA,Simulation,False,14.03,12162,4530,16692,2808,1222,windows
100019,Ashen Chronicles,2022-03-16,EA,Square Enix,Sports,False,54.49,1519,484,2003,1349,486,windows;mac
100020,Shadow Uprising,2019-01-01,Frozen Legacy Studio,Raw Fury,Simulation,True,11.88,353,143,496,1992,1245,windows
100021,Broken Protocol,2010-02-01,Annapurna Interactive,Annapurna Interactive,Action,False,19.9,375456,124544,500000,1791,1162,windows
100022,Broken Protocol,2023-06-05,Private Division,Indie Collective,Adventure,False,17.29,1095,8691,9786,428,338,windows;mac;linux
100023,Broken Descent,2021-08-16,Indie Collective,EA,Action,False,34.23,139,148,287,1474,666,windows;mac
100024,Rogue Descent,2021-08-09,Rogue Protocol Studio,Annapurna Interactive,Indie,True,3.6,118,30,148,920,421,windows
100025,Void Uprising,2024-11-15,Annapurna Interactive,Valve,Adventure,False,22.36,1778,526,2304,984,449,windows
100026,Rogue Frontier,2021-10-19,Silent Kingdom Studio,505 Games,Indie,True,4.59,2143,165,2308,856,531,windows
100027,Rusty Kingdom,2023-02-23,Ubisoft,Paradox Interactive,Free to Play,False,0.0,912,409,1321,3201,1201,windows;linux
100028,Rogue Citadel,2021-09-14,Dark Reckoning Studio,Ubisoft,Indie,True,3.75,299,65,364,597,340,windows
100029,Broken Odyssey 2,2023-05-10,EA,Private Division,Adventure,False,19.08,451,60,511,1118,853,windows
100030,Rusty Odyssey,2021-08-20,Frozen Chronicles Studio,EA,Indie,True,5.36,978,254,1232,1424,740,windows;linux
100031,Shadow Colony,2011-04-15,Lost Reckoning Studio,Team17,Strategy,True,11.42,3261,1263,4524,2406,1686,windows
100032,Lost Protocol,2024-01-21,Private Division,Raw Fury,RPG,False,26.62,468,82,550,4705,2355,windows;mac
100033,Crimson Colony,2018-09-17,Golden Citadel Studio,EA,Indie,True,4.69,222,159,381,1321,592,windows;mac
100034,Eternal Requiem,2020-05-04,Valve,Solo Studio,RPG,False,21.38,384,378,762,3188,1818,windows;mac;linux
100035,Ashen Frontier,2021-03-18,Raw Fury,Square Enix,Casual,False,6.55,1051,356,1407,339,176,windows;linux
100036,Rogue Kingdom,2021-04-03,Square Enix,Team17,Casual,False,12.08,2704,266,2970,282,148,windows
100037,Lost Wanderer,2022-01-13,Rogue Protocol Studio,Indie Collective,Indie,True,4.4,82,234,316,467,336,windows
